,B,C,D,E,F,L,A,,Basal,index_all
"phoA,hprK,carB,group",0.060606061,0,0,0,0.096721311,0,0,0.157327372,0.945945946,0.584265825
"phoA,hprK,ctaA,group",0.060606061,0,0,0,0.127868852,0,0.021010456,0.209485369,0.927927928,0.592827667
"phoA,clpB,carB,group",0,0.060606061,0,0,0.127868852,0,0.026203739,0.214678652,0.924924925,0.594855181
"phoA,hprK,atpB_2,group",0.060606061,0.060606061,0,0,0.096721311,0,0,0.217933433,0.932432432,0.585103277
"phoA,hprK,trkA,group",0.119318182,0,0,0,0.096721311,0,0.005277045,0.221316538,0.941441441,0.58653025
"phoA,hprK,rnc,group",0.060606061,0,0,0,0.157923497,0,0.005277045,0.223806603,0.936936937,0.586937957
"phoA,hprK,typA,group",0.060606061,0,0,0,0.157923497,0,0.005277045,0.223806603,0.936936937,0.586937957
"phoA,hprK,mntB,group",0.060606061,0,0,0,0.158469945,0,0.005277045,0.224353051,0.945945946,0.586800218
"phoA,hprK,plsY,group",0.060606061,0,0,0,0.158469945,0,0.005277045,0.224353051,0.936936937,0.586943466
"phoA,hprK,murD,group",0.060606061,0,0,0,0.127868852,0,0.036590303,0.225065216,0.936936937,0.599025911
"phoA,hprK,pknB,group",0.060606061,0,0,0,0.158469945,0,0.015789253,0.234865259,0.936936937,0.591103177
"pmi,hprK,carB,group",0.060606061,0.060606061,0,0,0.096721311,0,0.026217699,0.244151132,0.936936937,0.597025944
"phoA,hprK,pnpA,group",0.119318182,0,0,0,0.127868852,0,0.005277045,0.252464079,0.941441441,0.586844295
"phoA,hprK,pycA,group",0.119318182,0,0,0,0.127868852,0,0.005277045,0.252464079,0.927927928,0.586794709
"phoA,hprK,mfd,group",0.060606061,0,0,0,0.18852459,0,0.005277045,0.254407696,0.953453453,0.587307097
"phoA,hprK,aroA,group",0.060606061,0,0,0,0.18852459,0,0.005277045,0.254407696,0.953453453,0.587307097
"phoA,hprK,obgE,group",0.060606061,0,0,0,0.18852459,0,0.005277045,0.254407696,0.938438438,0.587252001
"phoA,clpB,pknB,group",0,0.060606061,0,0,0.158469945,0,0.036604264,0.255680269,0.924924925,0.599279351
"phoA,hprK,polC,group",0.119318182,0,0,0,0.127868852,0,0.010526169,0.257713203,0.936936937,0.588904867
"phoA,hprK,fhuA_2~~~fhuA_1,group",0.060606061,0,0,0,0.186885246,0,0.010540129,0.258031436,0.960960961,0.589400726
"phoA,hprK,mntC,group",0.060606061,0,0,0.090909091,0.096721311,0,0.010540129,0.258776592,0.954954955,0.588409007
"phoA,clpB,ctaA,group",0,0.060606061,0,0,0.158469945,0,0.046934986,0.266010992,0.905405405,0.603295813
"phoA,clpB,atpB_2,group",0,0.119318182,0,0,0.127868852,0,0.026203739,0.273390773,0.915915916,0.59572569
"phoA,hprK,gatA,group",0.060606061,0.060606061,0,0,0.127868852,0,0.026161857,0.275242831,0.927927928,0.595048016
"phoA,hprK,pbpA,group",0.119318182,0,0,0,0.158469945,0,0,0.277788127,0.942942943,0.585070219
"phoA,hprK,rpoC,group",0.060606061,0.060606061,0,0,0.158469945,0,0,0.279682067,0.945945946,0.584893914
"phoA,hprK,prfA,group",0.060606061,0.060606061,0,0,0.158469945,0,0,0.279682067,0.932432432,0.585725856
"phoA,clpB,rnc,group",0,0.060606061,0,0,0.187978142,0,0.031410981,0.279995184,0.914414414,0.597483237
"phoA,clpB,typA,group",0,0.060606061,0,0,0.187978142,0,0.031410981,0.279995184,0.914414414,0.597483237
"phoA,clpB,trkA,group",0.060606061,0.060606061,0,0,0.127868852,0,0.031410981,0.280491955,0.921921922,0.597103078
"phoA,clpB,mntB,group",0,0.060606061,0,0,0.18852459,0,0.031410981,0.280541632,0.941441441,0.597587919
