,B,C,D,E,F,L,A,,Basal,index_all
"phoA,clpB,plsY,group",0,0.060606061,0,0,0.18852459,0,0.031410981,0.280541632,0.926426426,0.597532823
"phoA,clpB,murD,group",0,0.060606061,0,0,0.158469945,0,0.062305426,0.281381432,0.914414414,0.609411415
"phoA,hprK,pitA,group",0.060606061,0,0,0.090909091,0.127868852,0,0.005277045,0.284661049,0.948948949,0.586618403
"phoA,hprK,qoxA,group",0.060606061,0,0,0.090909091,0.127868852,0,0.005277045,0.284661049,0.927927928,0.586717575
"phoA,hprK,purL,group",0.119318182,0,0,0,0.158469945,0,0.010526169,0.288314296,0.927927928,0.589180344
"phoA,hprK,mnh_A1,group",0.060606061,0,0,0.090909091,0.127868852,0,0.010540129,0.289924133,0.954954955,0.588723051
"phoA,hprK,priA,group",0.060606061,0.060606061,0,0,0.158469945,0,0.010540129,0.290222196,0.933933934,0.589196873
"pmi,hprK,ctaA,group",0.060606061,0.060606061,0,0,0.127868852,0,0.041797546,0.290878519,0.918918919,0.603422533
"pmi,clpB,carB,group",0,0.119318182,0,0,0.127868852,0,0.052072427,0.299259461,0.915915916,0.607438995
"pmi,hprK,atpB_2,group",0.060606061,0.119318182,0,0,0.096721311,0,0.026217699,0.302863253,0.923423423,0.597852377
"pmi,hprK,trkA,group",0.119318182,0.060606061,0,0,0.096721311,0,0.031424942,0.308070496,0.933933934,0.599262822
"phoA,hprK,ctrA,group",0.060606061,0.060606061,0,0,0.187978142,0,0,0.309190263,0.923423423,0.585990314
"pmi,clpB,pknB,group",0,0.119318182,0,0,0.127868852,0,0.062333347,0.309520382,0.915915916,0.611488515
"phoA,clpB,mfd,group",0,0.060606061,0,0,0.218032787,0,0.031410981,0.310049829,0.95045045,0.597918492
"phoA,clpB,aroA,group",0,0.060606061,0,0,0.218032787,0,0.031410981,0.310049829,0.933933934,0.597857887
"phoA,clpB,obgE,group",0,0.060606061,0,0,0.218032787,0,0.031410981,0.310049829,0.915915916,0.597791772
"pmi,hprK,rnc,group",0.060606061,0.060606061,0,0,0.157923497,0,0.031424942,0.31056056,0.927927928,0.599665019
"pmi,hprK,typA,group",0.060606061,0.060606061,0,0,0.157923497,0,0.031424942,0.31056056,0.927927928,0.599665019
"phoA,clpB,pnpA,group",0.060606061,0.060606061,0,0,0.158469945,0,0.031410981,0.311093048,0.918918919,0.597400594
"phoA,clpB,pycA,group",0.060606061,0.060606061,0,0,0.158469945,0,0.031410981,0.311093048,0.905405405,0.597351008
"pmi,hprK,mntB,group",0.060606061,0.060606061,0,0,0.158469945,0,0.031424942,0.311107008,0.93993994,0.5995383
"pmi,hprK,plsY,group",0.060606061,0.060606061,0,0,0.158469945,0,0.031424942,0.311107008,0.927927928,0.599670529
"phoA,hprK,qoxB,group",0.119318182,0,0,0,0.186885246,0,0.005277045,0.311480473,0.927927928,0.58738974
"phoA,hprK,murC,group",0.119318182,0,0,0,0.186885246,0,0.005277045,0.311480473,0.938438438,0.587428307
"phoA,hprK,coaBC,group",0.119318182,0,0,0,0.187978142,0,0.005277045,0.312573369,0.936936937,0.587433817
"phoA,hprK,recG,group",0.119318182,0.060606061,0,0,0.127868852,0,0.005277045,0.31307014,0.927927928,0.586976524
"phoA,hprK,secF,group",0.119318182,0.060606061,0,0,0.127868852,0,0.005277045,0.31307014,0.938438438,0.587015091
"phoA,hprK,gmk,group",0.119318182,0,0,0,0.18852459,0,0.005277045,0.313119817,0.927927928,0.587406269
"phoA,hprK,tdk,group",0.060606061,0.060606061,0,0.090909091,0.096721311,0,0.005277045,0.314119568,0.932432432,0.587307097
"pmi,clpB,ctaA,group",0,0.119318182,0,0,0.127868852,0,0.067442867,0.314629901,0.896396396,0.613433387
"phoA,clpB,mntC,group",0,0.060606061,0,0.090909091,0.127868852,0,0.036604264,0.315988267,0.95045045,0.599180179
"phoA,hprK,murZ,group",0.060606061,0.060606061,0,0,0.158469945,0,0.036436738,0.316118805,0.932432432,0.60014435
"phoA,clpB,polC,group",0.060606061,0.060606061,0,0,0.158469945,0,0.036590303,0.31627237,0.914414414,0.599433618
"phoA,hprK,alaS,group",0.119318182,0,0,0,0.18852459,0,0.010540129,0.318382901,0.938438438,0.589527446
"phoA,hprK,thiI,group",0.060606061,0.060606061,0,0.090909091,0.096721311,0,0.010540129,0.319382653,0.945945946,0.588734071
"pmi,hprK,pknB,group",0.060606061,0.060606061,0,0,0.158469945,0,0.041797546,0.321479612,0.927927928,0.603764125
"phoA,hprK,cysS,group",0.119318182,0,0,0,0.127868852,0,0.076419427,0.323606462,0.95045045,0.61486036
"phoA,hprK,nusA,group",0.119318182,0.060606061,0,0,0.127868852,0,0.020940654,0.328733749,0.942942943,0.593229864
"phoA,hprK,scrB,group",0.119318182,0.060606061,0,0,0.127868852,0,0.021010456,0.328803551,0.953453453,0.593295979
"phoA,clpB,gatA,group",0,0.119318182,0,0,0.158469945,0,0.052016585,0.329804712,0.905405405,0.605483105
"pmi,clpB,trkA,group",0.060606061,0.119318182,0,0,0.096721311,0,0.057209867,0.333855421,0.914414414,0.6093453
"phoA,clpB,rpoC,group",0,0.119318182,0,0,0.18852459,0,0.026203739,0.334046511,0.941441441,0.595703652
"phoA,clpB,prfA,group",0,0.119318182,0,0,0.18852459,0,0.026203739,0.334046511,0.915915916,0.596337251
"pmi,clpB,rnc,group",0,0.119318182,0,0,0.157923497,0,0.057209867,0.334451546,0.905405405,0.609730969
"pmi,clpB,typA,group",0,0.119318182,0,0,0.157923497,0,0.057209867,0.334451546,0.905405405,0.609730969
"phoA,hprK,mqo1,group",0.119318182,0,0,0,0.158469945,0,0.057042342,0.334830469,0.936936937,0.607962403
"pmi,clpB,mntB,group",0,0.119318182,0,0,0.158469945,0,0.057209867,0.334997994,0.935435435,0.609846669
"pmi,clpB,plsY,group",0,0.119318182,0,0,0.158469945,0,0.057209867,0.334997994,0.92042042,0.609791574
"phoA,clpB,pbpA,group",0.060606061,0.060606061,0,0,0.18852459,0,0.026203739,0.33594045,0.926426426,0.595670595
"pmi,hprK,mfd,group",0.060606061,0.060606061,0,0,0.18852459,0,0.026231659,0.335968371,0.948948949,0.598001135
"pmi,hprK,murD,group",0.060606061,0.060606061,0,0,0.157923497,0,0.057209867,0.336345486,0.927927928,0.60984116
"pmi,hprK,pnpA,group",0.119318182,0.060606061,0,0,0.127868852,0,0.031424942,0.339218037,0.932432432,0.599571357
"pmi,hprK,pycA,group",0.119318182,0.060606061,0,0,0.127868852,0,0.031424942,0.339218037,0.918918919,0.599521771
"pmi,hprK,fhuA_2~~~fhuA_1,group",0.060606061,0.060606061,0,0,0.186885246,0,0.031438902,0.339536269,0.954954955,0.600061707
"phoA,hprK,abcA,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0,0.339990065,0.956456456,0.584739646
"phoA,hprK,tgt,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0,0.339990065,0.936936937,0.584844328
"phoA,clpB,gmk,group",0.060606061,0.060606061,0,0,0.18852459,0,0.031410981,0.341147693,0.905405405,0.597654033
"pmi,hprK,aroA,group",0.060606061,0.060606061,0,0,0.18852459,0,0.031424942,0.341161653,0.944444444,0.600034159
"pmi,hprK,obgE,group",0.060606061,0.060606061,0,0,0.18852459,0,0.031424942,0.341161653,0.929429429,0.599979064
"phoA,clpB,pitA,group",0,0.060606061,0,0.090909091,0.158469945,0,0.031410981,0.341396078,0.938438438,0.597389575
"phoA,clpB,qoxA,group",0,0.060606061,0,0.090909091,0.158469945,0,0.031410981,0.341396078,0.905405405,0.597268365
"phoA,hprK,dinG,group",0.119318182,0.060606061,0,0,0.158469945,0,0.005277045,0.343671233,0.938438438,0.587323626
"pmi,hprK,polC,group",0.119318182,0.060606061,0,0,0.127868852,0,0.036604264,0.344397358,0.927927928,0.601598872
"phoA,clpB,priA,group",0,0.119318182,0,0,0.18852459,0,0.036604264,0.344447035,0.911411411,0.599709096
"pmi,hprK,mntC,group",0.060606061,0.060606061,0,0.090909091,0.096721311,0,0.036618224,0.345460748,0.948948949,0.601114031
"phoA,clpB,purL,group",0.060606061,0.060606061,0,0,0.18852459,0,0.036590303,0.346327014,0.905405405,0.599703586
"phoA,clpB,mnh_A1,group",0,0.060606061,0,0.090909091,0.158469945,0,0.036604264,0.34658936,0.95045045,0.599488714
"pmi,clpB,atpB_2,group",0,0.176136364,0,0,0.127868852,0,0.052072427,0.356077643,0.906906907,0.608298485
"pmi,hprK,gatA,group",0.060606061,0.119318182,0,0,0.127868852,0,0.052030545,0.35982364,0.918918919,0.60763183
"pmi,clpB,murD,group",0,0.119318182,0,0,0.157923497,0,0.082645782,0.359887461,0.905405405,0.61976937
"pmi,clpB,mfd,group",0,0.119318182,0,0,0.18852459,0,0.052086387,0.359929159,0.945945946,0.608166256
"phoA,clpB,ctrA,group",0,0.119318182,0,0,0.217486339,0,0.026203739,0.363008259,0.906906907,0.5965962
"pmi,hprK,coaBC,group",0.119318182,0.060606061,0,0,0.157923497,0,0.026231659,0.364079399,0.927927928,0.597808301
"phoA,clpB,tgt,group",0,0.119318182,0,0.090909091,0.127868852,0,0.026203739,0.364299864,0.914414414,0.595108621
"phoA,hprK,scpB,group",0.119318182,0.060606061,0,0,0.158469945,0,0.026106016,0.364500203,0.963963964,0.595830372
"pmi,hprK,pbpA,group",0.119318182,0.060606061,0,0,0.158469945,0,0.026217699,0.364611887,0.936936937,0.597841358
"pmi,hprK,prfA,group",0.060606061,0.119318182,0,0,0.158469945,0,0.026217699,0.364611887,0.923423423,0.598474956
"pmi,clpB,pnpA,group",0.060606061,0.119318182,0,0,0.127868852,0,0.057209867,0.365002962,0.90990991,0.609642816
"pmi,clpB,pycA,group",0.060606061,0.119318182,0,0,0.127868852,0,0.057209867,0.365002962,0.896396396,0.60959323
"pmi,clpB,aroA,group",0,0.119318182,0,0,0.18852459,0,0.057209867,0.365052639,0.924924925,0.610111128
"pmi,clpB,obgE,group",0,0.119318182,0,0,0.18852459,0,0.057209867,0.365052639,0.906906907,0.610045013
"pmi,hprK,pitA,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.026231659,0.366221724,0.93993994,0.597295912
"phoA,hprK,thiM,group",0.119318182,0.060606061,0,0.090909091,0.096721311,0,0,0.367554645,0.932432432,0.585389773
"phoA,clpB,qoxB,group",0.060606061,0.060606061,0,0,0.216393443,0,0.031410981,0.369016545,0.905405405,0.59793502
"phoA,clpB,murC,group",0.060606061,0.060606061,0,0,0.216393443,0,0.031410981,0.369016545,0.915915916,0.597973587
"pmi,clpB,mntC,group",0,0.119318182,0,0.090909091,0.096721311,0,0.062333347,0.369281931,0.944444444,0.611394853
"phoA,clpB,tdk,group",0,0.119318182,0,0.090909091,0.127868852,0,0.031410981,0.369507106,0.915915916,0.597901963
"phoA,clpB,recG,group",0.060606061,0.119318182,0,0,0.158469945,0,0.031410981,0.369805169,0.905405405,0.597527314
"phoA,clpB,secF,group",0.060606061,0.119318182,0,0,0.158469945,0,0.031410981,0.369805169,0.915915916,0.59756588
"phoA,clpB,murZ,group",0,0.119318182,0,0,0.18852459,0,0.062151862,0.369994634,0.915915916,0.610562911
"phoA,clpB,coaBC,group",0.060606061,0.060606061,0,0,0.217486339,0,0.031410981,0.370109441,0.914414414,0.597979097
"pmi,hprK,qoxA,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.031424942,0.371415006,0.918918919,0.599444637
"phoA,clpB,fhuA_2~~~fhuA_1,group",0.060606061,0.060606061,0,0,0.216393443,0,0.036604264,0.374209827,0.954954955,0.600171898
"phoA,clpB,thiI,group",0,0.119318182,0,0.090909091,0.127868852,0,0.036604264,0.374700389,0.933933934,0.599295879
"pmi,hprK,purL,group",0.119318182,0.060606061,0,0,0.158469945,0,0.036604264,0.374998451,0.921921922,0.601885368
"pmi,hprK,priA,group",0.060606061,0.119318182,0,0,0.158469945,0,0.036618224,0.375012412,0.924924925,0.601879859
"phoA,clpB,alaS,group",0.060606061,0.060606061,0,0,0.218032787,0,0.036604264,0.375849172,0.915915916,0.600045178
"phoA,hprK,birA,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.005277045,0.375868202,0.938438438,0.587246492
"phoA,clpB,cysS,group",0.060606061,0.060606061,0,0,0.158469945,0,0.101576133,0.3812582,0.945945946,0.625267902
"pmi,clpB,gatA,group",0,0.176136364,0,0,0.127868852,0,0.077536262,0.381541478,0.896396396,0.617582079
"pmi,hprK,scrB,group",0.119318182,0.119318182,0,0,0.096721311,0,0.046948947,0.382306622,0.944444444,0.605598806
"phoA,hprK,groEL,group",0.119318182,0.060606061,0,0,0.187978142,0,0.015789253,0.383691638,0.953453453,0.591835948
"phoA,clpB,nusA,group",0.060606061,0.119318182,0,0,0.158469945,0,0.046865184,0.385259372,0.926426426,0.603720049
"phoA,clpB,scrB,group",0.060606061,0.119318182,0,0,0.158469945,0,0.046934986,0.385329174,0.935435435,0.603780654
"pmi,clpB,prfA,group",0,0.176136364,0,0,0.158469945,0,0.052072427,0.386678736,0.906906907,0.60860702
"phoA,hprK,rarA,group",0.060606061,0,0,0.090909091,0.158469945,0,0.07713141,0.387116506,0.954954955,0.615560073
"pmi,clpB,coaBC,group",0.060606061,0.119318182,0,0,0.157923497,0,0.052086387,0.389934127,0.905405405,0.607907307
"pmi,clpB,pitA,group",0,0.119318182,0,0.090909091,0.127868852,0,0.052086387,0.390182512,0.929429429,0.607609792
"pmi,clpB,pbpA,group",0.060606061,0.119318182,0,0,0.158469945,0,0.052072427,0.390466615,0.92042042,0.607962403
"pmi,clpB,gmk,group",0.060606061,0.119318182,0,0,0.158469945,0,0.052086387,0.390480575,0.896396396,0.60787976
"phoA,hprK,metK,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.051514009,0.391504074,0.936936937,0.605229666
"phoA,clpB,mqo1,group",0.060606061,0.060606061,0,0,0.18852459,0,0.082478257,0.392214968,0.938438438,0.618689498
"pmi,hprK,ctrA,group",0.060606061,0.119318182,0,0,0.187978142,0,0.026217699,0.394120084,0.914414414,0.598739415
"pmi,hprK,rpoC,group",0.060606061,0.119318182,0,0,0.18852459,0,0.026217699,0.394666532,0.93993994,0.597957059
"pmi,hprK,gmk,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026231659,0.394680492,0.918918919,0.598083778
"phoA,clpB,abcA,group",0,0.119318182,0,0.090909091,0.158469945,0,0.026203739,0.394900957,0.951951952,0.595554894
"pmi,clpB,qoxA,group",0,0.119318182,0,0.090909091,0.127868852,0,0.057209867,0.395305992,0.896396396,0.609510587
"pmi,clpB,priA,group",0,0.176136364,0,0,0.158469945,0,0.062333347,0.396939656,0.902402402,0.611912751
"pmi,hprK,recG,group",0.119318182,0.119318182,0,0,0.127868852,0,0.031424942,0.397930158,0.918918919,0.599692567
"pmi,hprK,secF,group",0.119318182,0.119318182,0,0,0.127868852,0,0.031424942,0.397930158,0.929429429,0.599731134
"pmi,hprK,qoxB,group",0.119318182,0.060606061,0,0,0.186885246,0,0.031424942,0.39823443,0.918918919,0.600116802
"pmi,hprK,murC,group",0.119318182,0.060606061,0,0,0.186885246,0,0.031424942,0.39823443,0.929429429,0.600155369
"pmi,hprK,tdk,group",0.060606061,0.119318182,0,0.090909091,0.096721311,0,0.031424942,0.398979587,0.926426426,0.600034159
"phoA,clpB,dinG,group",0.060606061,0.119318182,0,0,0.18852459,0,0.031410981,0.399859814,0.915915916,0.597868906
"pmi,hprK,murZ,group",0.060606061,0.119318182,0,0,0.158469945,0,0.062165822,0.40056001,0.923423423,0.61266205
"pmi,clpB,polC,group",0.060606061,0.119318182,0,0,0.158469945,0,0.062319387,0.400713575,0.905405405,0.611951318
"pmi,clpB,purL,group",0.060606061,0.119318182,0,0,0.158469945,0,0.062319387,0.400713575,0.896396396,0.61191826
"phoA,hprK,dnaI,group",0.119318182,0,0,0.090909091,0.187978142,0,0.005277045,0.40348246,0.93993994,0.587560536
"pmi,hprK,thiI,group",0.060606061,0.119318182,0,0.090909091,0.096721311,0,0.036618224,0.404172869,0.936936937,0.601417056
"pmi,hprK,alaS,group",0.119318182,0.060606061,0,0,0.18852459,0,0.036618224,0.405067057,0.929429429,0.602221451
"phoA,hprK,drm,group",0.119318182,0.060606061,0,0,0.158469945,0,0.067163658,0.405557846,0.944444444,0.612518801
"pmi,clpB,scrB,group",0.060606061,0.176136364,0,0,0.096721311,0,0.072524466,0.405988201,0.926426426,0.61559864
"pmi,hprK,mnh_A1,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.036618224,0.407209381,0.948948949,0.60173661
"pmi,hprK,cysS,group",0.119318182,0.060606061,0,0,0.127868852,0,0.101590094,0.409383189,0.944444444,0.62713564
"phoA,clpB,rarA,group",0,0.060606061,0,0.090909091,0.158469945,0,0.102288115,0.412273212,0.935435435,0.625427679
"pmi,hprK,nusA,group",0.119318182,0.119318182,0,0,0.127868852,0,0.046879145,0.413384361,0.936936937,0.605857754
"pmi,clpB,tgt,group",0,0.176136364,0,0.090909091,0.096721311,0,0.052072427,0.415839193,0.905405405,0.607367371
"phoA,hprK,fmt,group",0.060606061,0.060606061,0,0.090909091,0.187978142,0,0.015789253,0.415888607,0.936936937,0.591698209
"pmi,clpB,ctrA,group",0,0.176136364,0,0,0.187978142,0,0.052072427,0.416186932,0.897897898,0.608871479
"pmi,clpB,rpoC,group",0,0.176136364,0,0,0.18852459,0,0.052072427,0.416733381,0.935435435,0.608287466
"phoA,hprK,cbiO_1,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.046767461,0.417358618,0.944444444,0.604392214
"phoA,hprK,mnhD_1,group",0.119318182,0,0,0.090909091,0.127868852,0,0.08129162,0.419387745,0.954954955,0.616920932
"phoA,clpB,scpB,group",0.060606061,0.119318182,0,0,0.18852459,0,0.051960743,0.420409576,0.945945946,0.606287499
"pmi,hprK,mqo1,group",0.119318182,0.060606061,0,0,0.158469945,0,0.082492217,0.420886405,0.929429429,0.620364402
"pmi,clpB,tdk,group",0,0.176136364,0,0.090909091,0.096721311,0,0.057209867,0.420976633,0.906906907,0.610127656
"pmi,clpB,recG,group",0.060606061,0.176136364,0,0,0.127868852,0,0.057209867,0.421821144,0.896396396,0.609758516
"pmi,clpB,secF,group",0.060606061,0.176136364,0,0,0.127868852,0,0.057209867,0.421821144,0.906906907,0.609797083
"pmi,clpB,murZ,group",0,0.176136364,0,0,0.158469945,0,0.087531934,0.422138243,0.906906907,0.622601279
"pmi,clpB,qoxB,group",0.060606061,0.119318182,0,0,0.186885246,0,0.057209867,0.424019356,0.896396396,0.610188261
"pmi,clpB,murC,group",0.060606061,0.119318182,0,0,0.186885246,0,0.057209867,0.424019356,0.906906907,0.610226828
"pmi,clpB,fhuA_2~~~fhuA_1,group",0.060606061,0.119318182,0,0,0.186885246,0,0.057223828,0.424033316,0.948948949,0.610386605
"phoA,clpB,thiM,group",0.060606061,0.119318182,0,0.090909091,0.127868852,0,0.026203739,0.424905924,0.915915916,0.596017697
"pmi,hprK,tgt,group",0.060606061,0.119318182,0,0.090909091,0.127868852,0,0.026217699,0.424919885,0.927927928,0.597593428
"pmi,hprK,dinG,group",0.119318182,0.119318182,0,0,0.158469945,0,0.031424942,0.428531251,0.929429429,0.600039669
"phoA,clpB,birA,group",0,0.119318182,0,0.090909091,0.18852459,0,0.031410981,0.430162844,0.915915916,0.597786262
"phoA,hprK,pdhD,group",0.060606061,0.060606061,0,0.090909091,0.186885246,0,0.031313258,0.430319716,0.936936937,0.597830339
"pmi,clpB,alaS,group",0.060606061,0.119318182,0,0,0.18852459,0,0.062333347,0.43078218,0.906906907,0.612265362
"phoA,clpB,drm,group",0.060606061,0.119318182,0,0,0.158469945,0,0.092459968,0.430854156,0.932432432,0.622491088
"pmi,clpB,mnh_A1,group",0,0.119318182,0,0.090909091,0.158469945,0,0.062333347,0.431030565,0.944444444,0.612017432
"pmi,clpB,cysS,group",0.060606061,0.119318182,0,0,0.127868852,0,0.126397789,0.434190884,0.93993994,0.637058341
"pmi,clpB,nusA,group",0.060606061,0.176136364,0,0,0.127868852,0,0.072454663,0.43706594,0.92042042,0.615863099
"pmi,hprK,groEL,group",0.119318182,0.119318182,0,0,0.158469945,0,0.041797546,0.438903855,0.944444444,0.604188361
"phoA,clpB,groEL,group",0.060606061,0.119318182,0,0,0.217486339,0,0.041783585,0.439194167,0.933933934,0.602331642
"phoA,hprK,sua5,group",0.119318182,0.060606061,0,0.090909091,0.127868852,0,0.041532297,0.440234483,0.936936937,0.602155336
"phoA,clpB,metK,group",0,0.119318182,0,0.090909091,0.158469945,0,0.072063771,0.440760989,0.914414414,0.613565616
"pmi,clpB,mqo1,group",0.060606061,0.119318182,0,0,0.158469945,0,0.107579121,0.445973309,0.933933934,0.630623185
"pmi,hprK,scpB,group",0.119318182,0.119318182,0,0,0.158469945,0,0.051974704,0.449081013,0.954954955,0.608414186
"phoA,hprK,odhB,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.081822116,0.452413274,0.932432432,0.617339658
"pmi,clpB,dinG,group",0.060606061,0.176136364,0,0,0.158469945,0,0.057209867,0.452422237,0.906906907,0.610105618
"pmi,hprK,abcA,group",0.060606061,0.119318182,0,0.090909091,0.158469945,0,0.026217699,0.455520978,0.95045045,0.597808301
"phoA,clpB,dnaI,group",0.060606061,0.060606061,0,0.090909091,0.217486339,0,0.026203739,0.45581129,0.917417417,0.596045244
"pmi,clpB,thiI,group",0,0.176136364,0,0.090909091,0.127868852,0,0.062333347,0.457247654,0.924924925,0.61180256
"pmi,hprK,birA,group",0.060606061,0.119318182,0,0.090909091,0.158469945,0,0.031424942,0.46072822,0.929429429,0.599962535
"pmi,clpB,groEL,group",0.060606061,0.176136364,0,0,0.158469945,0,0.067442867,0.462655237,0.924924925,0.614210233
"phoA,clpB,fmt,group",0.060606061,0.060606061,0,0.090909091,0.217486339,0,0.041783585,0.471391136,0.914414414,0.602199413
"pmi,clpB,scpB,group",0.060606061,0.176136364,0,0,0.158469945,0,0.07748042,0.47269279,0.936936937,0.618391983
"pmi,hprK,metK,group",0.060606061,0.119318182,0,0.090909091,0.127868852,0,0.077033687,0.475735872,0.927927928,0.617648193
"phoA,clpB,mnhD_1,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.106378523,0.476969681,0.95045045,0.627300926
"pmi,clpB,abcA,group",0,0.176136364,0,0.090909091,0.158469945,0,0.052072427,0.477587827,0.945945946,0.608138708
"pmi,clpB,drm,group",0.060606061,0.176136364,0,0,0.127868852,0,0.117421228,0.482032505,0.923423423,0.634325603
"pmi,clpB,birA,group",0,0.176136364,0,0.090909091,0.158469945,0,0.057209867,0.482725267,0.906906907,0.610022975
"pmi,hprK,thiM,group",0.119318182,0.119318182,0,0.090909091,0.127868852,0,0.026217699,0.483632006,0.923423423,0.598452918
"phoA,clpB,pdhD,group",0,0.119318182,0,0.090909091,0.216393443,0,0.057098184,0.483718899,0.914414414,0.608226861
"pmi,hprK,drm,group",0.119318182,0.119318182,0,0,0.158469945,0,0.092473929,0.489580238,0.935435435,0.624838157
"pmi,hprK,dnaI,group",0.119318182,0.060606061,0,0.090909091,0.187978142,0,0.031424942,0.490236417,0.930930931,0.600287599
"pmi,clpB,metK,group",0,0.176136364,0,0.090909091,0.127868852,0,0.09730424,0.492218547,0.905405405,0.62553236
"pmi,hprK,fmt,group",0.060606061,0.119318182,0,0.090909091,0.187978142,0,0.036632184,0.49544366,0.927927928,0.602309604
"pmi,clpB,rarA,group",0,0.119318182,0,0.090909091,0.158469945,0,0.127109771,0.495806989,0.926426426,0.637515633
"phoA,clpB,sua5,group",0.060606061,0.119318182,0,0.090909091,0.158469945,0,0.067177619,0.496480897,0.932432432,0.612601445
"pmi,hprK,cbiO_1,group",0.060606061,0.119318182,0,0.090909091,0.158469945,0,0.07235694,0.501660219,0.935435435,0.616843799
"pmi,hprK,rarA,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.102302076,0.502947878,0.948948949,0.628138378
