,gene_group,B,C,D,E,F,L,A,,Basal,index_all
868,"phoA,hprK,pycA,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.0313691,0.369763288,0.938438438,0.598331708
1228,"phoA,hprK,recG,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.0313691,0.369763288,0.938438438,0.598331708
3464,"pmi,hprK,mntB,carB,atpB_2,group",0.060606061,0.119318182,0,0,0.158469945,0,0.031424942,0.369819129,0.960960961,0.600667758
232,"pmi,hprK,carB,plsY,atpB_2,group",0.060606061,0.119318182,0,0,0.158469945,0,0.031424942,0.369819129,0.938438438,0.600585114
2520,"phoA,hprK,carB,plsY,mqo1,group",0.119318182,0,0,0,0.18852459,0,0.062165822,0.370008594,0.951951952,0.61068963
2552,"phoA,clpB,pknB,gatA,atpB_2,group",0,0.119318182,0,0,0.18852459,0,0.062277506,0.370120278,0.926426426,0.610651064
4774,"phoA,hprK,pitA,carB,gatA,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.0313691,0.371359165,0.959459459,0.597339989
2156,"phoA,hprK,pitA,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.0313691,0.371359165,0.956456456,0.598034192
4000,"phoA,hprK,carB,gatA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.0313691,0.371359165,0.947447447,0.598001135
3668,"phoA,hprK,mnh_A1,ctaA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.031438902,0.371428967,0.962462462,0.598083778
4298,"phoA,hprK,mntC,ctaA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.031438902,0.371428967,0.962462462,0.598083778
4062,"phoA,hprK,carB,secF,atpB_2,group",0.119318182,0.119318182,0,0,0.127868852,0,0.005277045,0.371782261,0.947447447,0.587907638
3997,"phoA,hprK,carB,gatA,murZ,group",0.060606061,0.060606061,0,0,0.18852459,0,0.06210998,0.371846692,0.947447447,0.610662083
4598,"phoA,hprK,murD,gatA,prfA,group",0.060606061,0.060606061,0,0,0.18852459,0,0.062263545,0.372000256,0.938438438,0.61068963
4022,"phoA,hprK,carB,murC,atpB_2,group",0.119318182,0.060606061,0,0,0.186885246,0,0.005277045,0.372086533,0.947447447,0.588326364
2178,"phoA,clpB,mntC,carB,atpB_2,group",0,0.119318182,0,0.090909091,0.127868852,0,0.036604264,0.374700389,0.956456456,0.600105783
508,"phoA,hprK,polC,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.036548422,0.37494261,0.938438438,0.600381261
4522,"phoA,hprK,mntC,carB,gatA,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.036562382,0.376552447,0.965465465,0.59941709
2036,"phoA,hprK,mntC,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.036562382,0.376552447,0.962462462,0.600111293
2164,"phoA,hprK,pitA,gatA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.036562382,0.376552447,0.956456456,0.600089255
4538,"phoA,hprK,pitA,murD,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.036590303,0.376580368,0.956456456,0.600100274
1780,"phoA,hprK,mnh_A1,ctaA,plsY,group",0.060606061,0,0,0.090909091,0.18852459,0,0.036632184,0.376671926,0.960960961,0.599857854
2158,"phoA,hprK,mntC,ctaA,plsY,group",0.060606061,0,0,0.090909091,0.18852459,0,0.036632184,0.376671926,0.960960961,0.599857854
4330,"phoA,hprK,mntB,murD,gatA,group",0.060606061,0.060606061,0,0,0.18852459,0,0.067373065,0.377109776,0.960960961,0.612089056
1894,"phoA,hprK,murD,plsY,gatA,group",0.060606061,0.060606061,0,0,0.18852459,0,0.067373065,0.377109776,0.936936937,0.612000904
4287,"phoA,hprK,mntC,carB,thiM,group",0.119318182,0.060606061,0,0.090909091,0.096721311,0,0.010540129,0.378094774,0.966966967,0.589687223
4082,"phoA,hprK,carB,thiI,atpB_2,group",0.060606061,0.119318182,0,0.090909091,0.096721311,0,0.010540129,0.378094774,0.947447447,0.589621108
4277,"phoA,hprK,mntB,carB,secF,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.966966967,0.589813942
1508,"phoA,hprK,trkA,obgE,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.942942943,0.590408974
3628,"phoA,hprK,mfd,trkA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.963963964,0.590486108
4168,"phoA,hprK,mntB,pnpA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.966966967,0.590497127
4208,"phoA,hprK,mntB,pycA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.962462462,0.590480598
4238,"phoA,hprK,mntB,recG,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.962462462,0.590480598
1541,"phoA,hprK,carB,plsY,secF,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.947447447,0.589742318
3116,"phoA,hprK,pnpA,plsY,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.942942943,0.590408974
3356,"phoA,hprK,pycA,plsY,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.938438438,0.590392445
3536,"phoA,hprK,recG,plsY,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.938438438,0.590392445
3616,"phoA,hprK,trkA,aroA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.957957958,0.590464069
3972,"phoA,hprK,carB,alaS,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.010540129,0.378988962,0.947447447,0.590425503
4292,"phoA,hprK,ctaA,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.158469945,0,0.041797546,0.380191734,0.957957958,0.602529986
1712,"phoA,clpB,ctaA,gatA,atpB_2,group",0,0.119318182,0,0,0.18852459,0,0.072468624,0.380311396,0.915915916,0.614645488
4076,"phoA,hprK,mntB,carB,tdk,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.010540129,0.381131287,0.966966967,0.590139006
4284,"phoA,hprK,mntC,carB,prfA,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.010540129,0.381131287,0.966966967,0.590139006
2524,"phoA,hprK,carB,plsY,tdk,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.010540129,0.381131287,0.947447447,0.590067382
4546,"phoA,hprK,pitA,murD,tdk,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.041769625,0.381759689,0.956456456,0.602149827
2302,"phoA,hprK,pitA,murD,plsY,group",0.060606061,0,0,0.090909091,0.18852459,0,0.041769625,0.381809367,0.954954955,0.60186884
886,"phoA,clpB,mntC,carB,plsY,group",0,0.060606061,0,0.090909091,0.18852459,0,0.041783585,0.381823327,0.960960961,0.601879859
4288,"pmi,hprK,carB,scrB,atpB_2,group",0.119318182,0.119318182,0,0,0.096721311,0,0.046948947,0.382306622,0.953453453,0.606315047
3388,"phoA,hprK,fhuA_2~~~fhuA_1,qoxB,atpB_2,group",0.119318182,0.060606061,0,0,0.186885246,0,0.015789253,0.382598742,0.962462462,0.59254117
3418,"phoA,hprK,fhuA_2~~~fhuA_1,trkA,atpB_2,group",0.119318182,0.060606061,0,0,0.186885246,0,0.015789253,0.382598742,0.963963964,0.59254668
1466,"phoA,hprK,fhuA_2~~~fhuA_1,murC,atpB_2,group",0.119318182,0.060606061,0,0,0.186885246,0,0.015789253,0.382598742,0.962462462,0.59254117
4468,"phoA,hprK,mntC,trkA,atpB_2,group",0.119318182,0.060606061,0,0.090909091,0.096721311,0,0.015789253,0.383343898,0.963963964,0.591753304
4002,"phoA,hprK,carB,groEL,atpB_2,group",0.119318182,0.060606061,0,0,0.187978142,0,0.015789253,0.383691638,0.959459459,0.59254117
