,gene_group,B,C,D,E,F,L,A,,Basal,index_all
5300,"phoA,hprK,carB,plsY,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.0313691,0.341105811,0.947447447,0.598496995
740,"phoA,hprK,mntB,carB,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.0313691,0.341105811,0.966966967,0.598568619
5780,"phoA,hprK,pitA,carB,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.0313691,0.371359165,0.960960961,0.598050721
3260,"phoA,hprK,mntC,carB,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.036562382,0.376552447,0.966966967,0.600127822
5788,"phoA,hprK,pitA,carB,gatA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.036562382,0.376552447,0.960960961,0.600105783
8900,"phoA,hprK,murD,plsY,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.067373065,0.377109776,0.938438438,0.612711636
1340,"phoA,hprK,mntB,murD,gatA,atpB_2,group",0.060606061,0.060606061,0,0,0.18852459,0,0.067373065,0.377109776,0.962462462,0.612799788
15770,"phoA,hprK,fhuA_2~~~fhuA_1,carB,murC,atpB_2,group",0.119318182,0.060606061,0,0,0.186885246,0,0.015789253,0.382598742,0.966966967,0.592557699
6700,"phoA,hprK,mntC,carB,plsY,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.015789253,0.386380411,0.966966967,0.592216107
8300,"phoA,hprK,rpoC,carB,gatA,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.026161857,0.39461069,0.966966967,0.596684352
5360,"phoA,hprK,carB,plsY,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026231659,0.394680492,0.962462462,0.596689862
800,"phoA,hprK,mntB,carB,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026231659,0.394680492,0.968468468,0.5967119
6380,"phoA,hprK,pitA,murD,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.062263545,0.40225361,0.956456456,0.610259886
18980,"phoA,hprK,trkA,plsY,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.036562382,0.405011215,0.942942943,0.600706324
3020,"phoA,hprK,mntB,trkA,gatA,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.036562382,0.405011215,0.963963964,0.600783458
20780,"phoA,hprK,mnh_A1,carB,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.036562382,0.40715354,0.966966967,0.600436356
6388,"phoA,hprK,pitA,murD,gatA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.067373065,0.407363129,0.956456456,0.612281891
7960,"phoA,hprK,pitA,carB,plsY,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.960960961,0.590419993
3860,"phoA,hprK,mntC,murD,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.072468624,0.412458689,0.962462462,0.614320424
