,gene_group,B,C,D,E,F,L,A,,Basal,index_all
5540,"phoA,pitA,hprK,carB,plsY,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.036562382,0.437208184,0.960960961,0.600717344
25700,"phoA,mntC,hprK,carB,plsY,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.041741704,0.442387506,0.966966967,0.602788935
5548,"phoA,pitA,hprK,carB,plsY,gatA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.041741704,0.442387506,0.960960961,0.602766896
35800,"phoA,mnh_A1,hprK,carB,plsY,metK,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.066884449,0.467530252,0.966966967,0.612739183
9140,"phoA,pitA,hprK,murD,plsY,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.067373065,0.468018867,0.956456456,0.612893451
9148,"phoA,pitA,hprK,murD,plsY,gatA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.072468624,0.473114426,0.956456456,0.614909946
29300,"phoA,mntC,hprK,murD,plsY,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.077550223,0.478196025,0.962462462,0.616942971
37240,"phoA,mnh_A1,hprK,ctaA,plsY,metK,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.087168963,0.487814765,0.962462462,0.62075007
25760,"phoA,mntC,hprK,carB,plsY,scrB,atpB_2,group",0.119318182,0.060606061,0,0.090909091,0.18852459,0,0.036632184,0.495990108,0.968468468,0.600943235
25709,"phoA,mntC,hprK,carB,plsY,gatA,thiM,group",0.119318182,0.060606061,0,0.090909091,0.18852459,0,0.041741704,0.501099628,0.966966967,0.602959731
19220,"phoA,pitA,hprK,trkA,plsY,gatA,atpB_2,group",0.119318182,0.060606061,0,0.090909091,0.18852459,0,0.041741704,0.501099628,0.960960961,0.602937692
39380,"phoA,mntC,hprK,trkA,plsY,gatA,atpB_2,group",0.119318182,0.060606061,0,0.090909091,0.18852459,0,0.046907065,0.506264989,0.963963964,0.604992755
19228,"phoA,pitA,hprK,trkA,plsY,gatA,tdk,group",0.119318182,0.060606061,0,0.090909091,0.18852459,0,0.046907065,0.506264989,0.960960961,0.604981736
5540,"pmi,pitA,hprK,carB,plsY,gatA,atpB_2,group",0.060606061,0.119318182,0,0.090909091,0.18852459,0,0.057181946,0.51653987,0.951951952,0.611218547
5548,"pmi,pitA,hprK,carB,plsY,gatA,tdk,group",0.060606061,0.119318182,0,0.090909091,0.18852459,0,0.062305426,0.52166335,0.954954955,0.613251572
25720,"phoA,mntC,hprK,carB,plsY,metK,atpB_2,group",0.060606061,0.060606061,0,0.177489177,0.158469945,0,0.066884449,0.524055694,0.966966967,0.612546349
25700,"pmi,mntC,hprK,carB,plsY,gatA,atpB_2,group",0.060606061,0.119318182,0,0.090909091,0.18852459,0,0.067400986,0.526758909,0.960960961,0.615284596
49480,"phoA,mnh_A1,hprK,trkA,plsY,metK,atpB_2,group",0.119318182,0.060606061,0,0.090909091,0.18852459,0,0.071980009,0.531337932,0.963963964,0.614915456
25708,"phoA,mntC,hprK,carB,plsY,gatA,tdk,group",0.060606061,0.060606061,0,0.177489177,0.18852459,0,0.046907065,0.534132954,0.966966967,0.604943169
29309,"phoA,mntC,hprK,murD,plsY,gatA,thiM,group",0.119318182,0.060606061,0,0.090909091,0.18852459,0,0.077550223,0.536908146,0.962462462,0.617113767
25770,"phoA,mntC,hprK,carB,plsY,secF,atpB_2,group",0.119318182,0.119318182,0,0.090909091,0.18852459,0,0.021024417,0.539094462,0.966966967,0.594937825
25790,"phoA,mntC,hprK,carB,plsY,thiI,atpB_2,group",0.060606061,0.119318182,0,0.177489177,0.158469945,0,0.02624562,0.542128985,0.966966967,0.596640276
5560,"phoA,pitA,hprK,carB,plsY,metK,atpB_2,group",0.060606061,0.060606061,0,0.177489177,0.18852459,0,0.06177493,0.549000819,0.960960961,0.610805331
