,B,C,D,E,F,L,A,Basal,index_all
count,349000.0,349000.0,349000.0,349000.0,349000.0,349000.0,349000.0,349000.0,349000.0
mean,0.09156399235912122,0.07822616566814265,0.0,0.07515012590084222,0.32365945480451563,0.0,0.07220806469994116,0.9611401430083376,0.6152700567422166
std,0.053283592013932096,0.045418381813355696,0.0,0.06398284891636956,0.05655101867128063,0.0,0.02791552340565861,0.009407328767849037,0.010932433368671111
min,0.0,0.0,0.0,0.0,0.0967213114754098,0.0,0.0105401292736384,0.9009009009009008,0.59072852790312
25%,0.0606060606060605,0.0606060606060605,0.0,0.0,0.2754098360655738,0.0,0.0521003476148594,0.954954954954955,0.6073232949317642
50%,0.0606060606060605,0.0606060606060605,0.0,0.0909090909090909,0.3300546448087431,0.0,0.0674707877874104,0.9624624624624624,0.614061475567897
75%,0.1193181818181817,0.1193181818181817,0.0,0.0909090909090909,0.3573770491803278,0.0,0.087713420167246,0.9684684684684683,0.6217858657983615
max,0.284090909090909,0.231060606060606,0.0,0.2597402597402597,0.5065573770491802,0.0,0.1985872038642487,0.984984984984985,0.6644297890392996
