,B,C,D,E,F,L,A,Basal,index_all
"phoA,clpB,group",0,0.060606061,0,0,0.127868852,0,0.026203739,0.905405405,0.594783557
"phoA,hprK,group",0.060606061,0,0,0,0.096721311,0,0,0.906906907,0.58359366
"pmi,clpB,group",0,0.119318182,0,0,0.096721311,0,0.052072427,0.896396396,0.607053327
"pmi,hprK,group",0.060606061,0.060606061,0,0,0.096721311,0,0.026217699,0.897897898,0.596353779
